date,soc_start_kwh,soc_end_kwh,initial_contract_kwh,final_contract_kwh,settlement_cost,emergency_kwh,emergency_cost,charge_kwh,discharge_kwh,curtailment_kwh,grid_spill_kwh,total_cost,mean_lp_objective,block_0_charge_kwh,block_0_discharge_kwh,block_1_charge_kwh,block_1_discharge_kwh,block_2_charge_kwh,block_2_discharge_kwh,block_3_charge_kwh,block_3_discharge_kwh,block_4_charge_kwh,block_4_discharge_kwh,block_5_charge_kwh,block_5_discharge_kwh
2025-09-29,8627.767098455644,8354.671479504977,68352.41470710436,66372.30953506831,49200.4410001809,917.1559397699065,4836.531105440856,21623.31950745379,17522.38680917362,238.09477442532204,157.80390213272563,54036.97210562175,11514.498951529818,886.5438914013729,267.48194010908037,1808.6969691973916,6838.476078883778,4250.392992878906,1762.1774667022212,6105.881911987666,216.22069010210373,302.37643124099577,8033.026337660237,7975.244534303571,405.00429571620236
2025-09-30,8354.671479504977,8281.268710990145,66767.95422849298,70250.43271729298,51518.90074178009,422.74671460676143,2279.0807965462636,21287.98838979427,17309.145810945593,1335.272908976807,17.471044074255474,53797.981538326356,11880.45651227417,994.3038475447161,309.5062437412573,1742.8886745430837,5790.859695402223,5145.33456357053,2568.7798718021186,5537.153753096132,0.0,0.0,8069.913850277981,7868.076345544608,570.0861497220185
2025-10-01,8281.268710990145,9971.291309268036,62869.748418638614,60298.33841994101,41503.30843354111,88.74937049256577,429.8352150004217,22190.807683535557,16655.804616169225,4965.001040267663,190.1650327995676,41933.14364854153,10022.49559314099,2752.0151656328576,83.3038511392233,211.39881470230296,7654.122249982626,9106.022333333334,1036.0810628407676,1696.5948888888906,110.11994999999968,33.66272537874263,7386.828174306342,8640.830707396368,385.3493279002689
2025-10-02,9971.291309268036,10800.0,68162.95740791532,61260.144558908825,42632.611768162446,0.0,0.0,20619.401524708344,16428.60665539948,3773.336393583333,1781.8552460166206,42632.611768162446,10403.121859272893,976.29097420925,281.0553688728677,117.59390780253523,6619.236922594163,7276.1745742040575,1702.9469833333335,3216.369572334532,35.9304166666667,94.7334687291,7731.936389240701,9521.855375631945,57.50057469174726
2025-10-03,10800.0,10800.0,31354.866306955188,31352.257581886468,14694.373609572944,142.59876375804564,546.794959630226,20748.42594315321,16806.225013954107,18314.246024741333,1386.3127417040794,15241.16856920317,3580.3041170976194,100.04697894966154,1729.7892437059058,243.4113319044165,6991.248809243322,10423.255334762249,0.0,0.0,0.0,0.0,5445.024590631187,9981.712297536886,2640.162370373695
2025-10-04,10800.0,10626.309657894273,34027.95919684814,32338.30833510216,15966.63925420785,280.92853843276293,945.5575173297224,20922.116209378804,16946.914129596833,14646.773732153139,721.9854949331458,16912.196771537572,3725.8916015419604,115.46174944210514,2699.9969131327916,65.02496666666661,6033.527103915314,10601.6417,0.0,0.0,0.0,77.28977355044705,5516.956966575862,9869.70875071323,2696.4331459728714
2025-10-05,10626.309657894273,10800.0,67420.51479392982,60430.18940295438,43075.4359405414,117.14474093078597,601.7840748701182,20674.05021478416,16745.980673975177,457.85408443042263,1428.286018645752,43677.22001541152,10382.318857127078,307.74239563401443,464.93452684458214,9.275008166393718,6807.393436602715,4629.948296368369,1468.1348257358802,6115.502712551067,72.69546025103557,10.963139538630962,7434.835953835974,9793.607931532048,497.98647070498805
2025-10-06,10800.0,10800.0,60123.90033228826,63183.20337015761,45108.261757970824,263.72323100015086,1347.1720874870707,20956.308475683705,16974.60986530379,278.4211277535763,1465.4683463576002,46455.4338454579,10702.101955957849,79.74643341969134,196.47065584716597,76.21805328348103,6966.658542715885,6208.236442842911,1603.2020356665164,4563.189027185972,212.39571743034128,195.001515588628,7875.829112577561,9833.917003363022,120.05380106632242
2025-10-07,10800.0,10800.0,63270.72178478108,64615.159483032694,45429.06442684673,328.77906378703165,1727.0093477209207,20534.98542268226,16633.33819237264,1076.2505055337967,2199.3365943096364,47156.07377456765,10672.790635393701,183.33107498912568,178.06199947966877,36.498553998115916,6428.310530453699,5840.417266970541,2211.6894695463016,4956.4262841604905,165.44144813533694,114.56825178172329,7422.769176421004,9403.74399078227,227.06556833663012
2025-10-08,10800.0,9982.991739791956,57275.21300072848,59874.77674445648,41335.61744701494,886.8354173767965,4660.355633466804,21468.338625341727,17471.159183123935,97.04527196663732,199.09774764883812,45995.973080481745,9547.01895506686,67.40870029833407,289.9214334620797,66.61506469065205,7354.218502882821,4659.602423595872,1104.4193132961848,6022.0076996476,82.5999334828499,87.0317699452315,8333.919751792972,9758.87971087995,306.080248207026
2025-10-09,9982.991739791956,9865.38257770487,65909.63386540202,59014.15236534009,43384.025554654,990.7329123026218,5544.955597215298,21263.401050685814,17307.705661524,164.47070343294635,252.2838517146173,48928.981151869295,10179.010738569226,918.4520186034937,268.12482650875427,19.0757745920439,7214.058846205982,3980.6117833333337,1181.9064055864098,6686.054883333333,322.6919597947252,0.0,8317.308040205276,9632.6665471077,3.6155832228547524
