日期,时段,电价,实际负载电量,实际光伏电量,预测负载电量,预测光伏电量,安全裕度电量,计划购电量,实际充电量,实际放电量,紧急购电量,弃光量,时段末储电量
2025-07-20,3:30,0.4356,676.0033333333333,0.0,706.0225571801766,0.0,66.5718145162065,772.5943716963831,0.0,0.0,0.0,96.59103836304973,10800.0
2025-07-20,3:40,0.4353,710.77765,0.0010999999999999998,703.2266433826605,0.0,65.83327905456554,769.0599224372261,0.0,0.0,0.0,58.283372437226035,10800.0
2025-07-20,3:50,0.436,732.9495499999999,0.0,702.4311999498633,0.0,65.61193027871361,768.043130228577,0.0,0.0,0.0,35.093580228577025,10800.0
2025-07-20,4:00,0.4378,707.8283333333334,0.0,703.9816872165622,0.0,65.4544659458855,769.4361531624478,0.0,0.0,0.0,61.60781982911442,10800.0
2025-07-20,4:10,0.4401,666.9966833333333,0.015216666666666667,697.6490185654693,0.0,65.25845950138682,762.9074780668561,0.0,0.0,0.0,95.92601140018951,10800.0
2025-07-20,4:20,0.4389,682.22495,0.0,684.174166174591,0.0,65.25845950138682,749.4326256759779,0.0,0.0,0.0,67.20767567597784,10800.0
2025-07-20,4:30,0.4364,735.0483333333333,0.0,677.0835692156845,0.0,70.2703080827016,747.3538772983862,0.0,0.0,0.0,12.305543965052948,10800.0
2025-07-20,4:40,0.4393,732.9428833333333,0.21184999999999998,689.139862682659,0.46400273865882435,65.39713033142569,754.0729902754259,0.0,0.0,0.0,21.34195694209268,10800.0
2025-07-20,4:50,0.4422,686.6019833333332,0.0,691.9478502799311,0.0,62.70420789966859,754.6520581795996,0.0,0.0,0.0,68.0500748462664,10800.0
2025-07-20,5:00,0.4395,650.6533333333333,0.0,680.5805645364123,0.12697330231410395,57.0792983744753,737.5328896085736,0.0,0.0,0.0,86.87955627524025,10800.0
2025-07-20,5:10,0.4333,669.9383333333333,8.571116666666665,677.3090307487986,14.408106228830317,53.80350668415758,716.7044312041257,0.0,0.0,0.0,55.33721453745909,10800.0
2025-07-20,5:20,0.4439,683.7971333333332,34.561,677.5160013998014,40.261239820551026,49.460483133400125,686.7152447126506,0.0,0.0,0.0,37.479111379317374,10800.0
2025-07-20,5:30,0.4301,645.5516666666666,72.25625,664.6099734417355,73.62830418934934,45.74685583382908,636.7285250862152,0.0,0.0,0.0,63.4331084195486,10800.0
2025-07-20,5:40,0.3713,586.3684666666666,105.3349,644.6882859602365,109.87814284072991,42.055978282784125,576.8661214022908,0.0,0.0,0.0,95.83255473562417,10800.0
2025-07-20,5:50,0.5708,674.6855666666667,137.73424999999997,726.2470383543388,148.66784246174583,40.02935720583506,617.6085530984279,0.0,0.0,0.0,80.65723643176125,10800.0
2025-07-20,6:00,0.9099,841.4166666666666,174.97499999999997,864.241982371219,190.44675627749535,35.90459913593804,0.0,0.0,666.4416666666666,0.0,0.0,10059.50925925926
2025-07-20,6:10,0.9368,846.58695,217.02353333333332,890.9846963832484,234.1169548075295,34.660861543169325,0.0,0.0,629.5634166666666,0.0,0.0,9359.994351851852
2025-07-20,6:20,0.8758,843.7311666666666,256.71695,862.8081254409196,275.47745447535766,34.898360683206796,0.0,0.0,587.0142166666666,0.0,0.0,8707.756333333335
2025-07-20,6:30,0.8759,893.8466666666666,295.875,844.5014380114203,314.883648637863,35.34169470835892,0.0,0.0,597.9716666666666,0.0,0.0,8043.343370370372
2025-07-20,6:40,0.8601,896.0249333333333,342.60136666666665,846.9765277679536,356.35811675432143,34.99116114511253,0.0,0.0,553.4235666666666,0.0,0.0,7428.428296296298
2025-07-20,6:50,0.8442,875.7100166666667,387.61735,863.3420513013721,398.70251811642265,34.898360683206796,0.0,0.0,488.0926666666667,0.0,0.0,6886.103111111112
2025-07-20,7:00,0.8334,855.3916666666667,425.8625,874.4469274079313,441.84649732311914,35.10058143163648,0.0,0.0,429.52916666666664,0.0,0.0,6408.848481481483
2025-07-20,7:10,0.8092,832.6544166666665,462.81741666666665,863.1248136919053,488.7643000129151,36.92271276718846,0.0,0.0,369.8369999999999,0.0,0.0,5997.9184814814835
2025-07-20,7:20,0.7972,847.9631166666666,510.67028333333326,852.000857247942,542.7786112586609,37.556157754525806,0.0,0.0,337.2928333333333,0.0,0.0,5623.148666666669
2025-07-20,7:30,0.7644,857.5333333333333,566.5999999999999,838.2558192826101,590.8634599997355,37.556157754525806,0.0,0.0,290.9333333333334,0.0,0.0,5299.88940740741
2025-07-20,7:40,0.6899,801.3791833333332,619.2850333333333,823.4319516509916,618.3843425185014,33.99111849881001,217.6552613102132,35.56111131021328,0.0,0.0,0.0,5331.894407586602
2025-07-20,7:50,0.86,919.6798333333332,687.7809666666667,956.7709585160092,667.1851272031472,36.99769558437735,0.0,0.0,231.89886666666655,0.0,0.0,5074.229000179194
2025-07-20,8:00,1.1617,1152.8933333333332,753.7749999999999,1159.0445950777141,730.5030752218797,38.08782933208779,0.0,0.0,399.11833333333334,0.0,0.0,4630.76418536438
2025-07-20,8:10,1.1683,1178.2854499999999,772.7559833333332,1180.7643620750412,760.5328337534413,36.99769558437735,0.0,0.0,405.5294666666666,0.0,0.0,4180.175889068084
2025-07-20,8:20,1.0956,1118.8289833333333,775.7022499999999,1148.5581234074089,795.0236783394937,36.99769558437735,0.0,0.0,343.1267333333334,0.0,0.0,3798.923963142158
2025-07-20,8:30,1.0849,1104.635,806.1999999999999,1149.9236493594872,850.5447736007891,38.08782933208779,0.0,0.0,298.43500000000006,0.0,0.0,3467.3295186977134
2025-07-20,8:40,1.061,1138.8719666666666,884.1245833333334,1148.913753960086,904.2701114891017,38.7925765495864,0.0,0.0,254.74738333333323,0.0,0.0,3184.2768705495655
2025-07-20,8:50,1.043,1153.6739666666667,963.8822499999999,1158.4313099076971,949.2322270576708,38.7925765495864,0.0,0.0,189.79171666666684,0.0,0.0,2973.39718536438
2025-07-20,9:00,1.036,1134.2966666666666,1036.63125,1166.6455345744237,991.9812905972924,38.7925765495864,0.0,0.0,97.66541666666672,0.0,0.0,2864.8800557347504
2025-07-20,9:10,1.0147,1124.4158166666666,1121.7579666666666,1143.7322402838295,1039.9499721729078,46.48869358620989,0.0,0.0,2.657850000000053,0.0,0.0,2861.9268890680837
2025-07-20,9:20,0.9922,1123.1416333333332,1144.6239666666665,1138.672524323708,1069.4520326479612,47.72788775777477,0.0,21.482333333333372,0.0,0.0,0.0,2881.2609890680837
2025-07-20,9:30,0.97,1129.2516666666666,1125.78125,1152.6142734346843,1086.7250758533667,50.08880942314029,0.0,0.0,3.4704166666665515,0.0,0.0,2877.4049705495654
2025-07-20,9:40,0.9422,1143.9883499999999,1156.5294166666665,1140.3193344837334,1123.7774704945625,47.85233303436704,0.0,12.541066666666666,0.0,0.0,0.0,2888.6919305495653
2025-07-20,9:50,0.9569,1134.6442,1141.3268166666667,1140.590285672296,1165.0714247510728,49.600192862777476,0.0,6.682616666666718,0.0,0.0,0.0,2894.7062855495656
2025-07-20,10:00,0.9977,1116.5283333333332,1102.39375,1162.9526298386456,1196.0526175918285,51.87557635263602,0.0,0.0,14.13458333333324,0.0,0.0,2879.0011929569732
2025-07-20,10:10,0.9919,1137.5398333333333,1164.6940833333333,1171.6839784405306,1218.242502678688,51.87557635263602,0.0,27.154250000000047,0.0,0.0,0.0,2903.4400179569734
2025-07-20,10:20,0.9588,1151.7227333333333,1207.9879666666666,1155.4529060341001,1243.4070089067757,49.600192862777476,0.0,56.2652333333333,0.0,0.0,0.0,2954.0787279569736
2025-07-20,10:30,0.9549,1141.59,1207.1187499999999,1137.9408763217475,1264.8628940425497,49.600192862777476,0.0,65.52874999999995,0.0,0.0,0.0,3013.0546029569737
2025-07-20,10:40,0.9839,1136.13115,1262.48185,1152.944203121359,1266.8724920410045,44.70801534554645,0.0,126.35069999999996,0.0,0.0,0.0,3126.770232956974
2025-07-20,10:50,0.799,1140.0453,1343.64855,1163.2319481628163,1279.1744762708645,44.70801534554645,0.0,203.6032499999999,0.0,0.0,0.0,3310.013157956974
2025-07-20,11:00,0.5025,1151.9083333333333,1381.0,1157.430368731485,1302.99624912433,39.697970008084965,727.4654229485734,833.3333333333333,0.0,0.0,123.22375628190662,4060.013157956974
2025-07-20,11:10,0.4662,1169.4804333333332,1331.0593333333331,1159.4647539435268,1312.4713536192924,40.695383076367456,721.0221167339353,833.3333333333333,0.0,0.0,49.26768340060221,4810.013157956973
2025-07-20,11:20,0.5007,1185.6447166666667,1271.0046833333333,1159.6547130457184,1331.9423580211405,69.7748471703406,730.8205355282519,816.1805021949185,0.0,0.0,0.0,5544.5756099324
2025-07-20,11:30,0.4827,1203.2933333333333,1242.3562499999998,1159.9214616967788,1356.5690483733392,69.7748471703406,706.4605938271134,745.5235104937799,0.0,0.0,0.0,6215.546769376801
2025-07-20,11:40,0.4785,1215.5135333333333,1228.2952,1170.0058854333904,1355.2804231544596,79.06400170318784,727.1227973154519,739.9044639821186,0.0,0.0,0.0,6881.460786960708
2025-07-20,11:50,0.4662,1138.1221833333334,1241.5183333333332,1151.521481391524,1359.2392488307833,79.04024136457201,704.6558072586461,808.0519572586459,0.0,0.0,0.0,7608.707548493489
2025-07-20,12:00,0.4432,1024.1416666666667,1288.6499999999999,1111.535699468608,1380.4468176386072,76.67965747177853,641.1018726351126,833.3333333333333,0.0,0.0,72.27687263511257,8358.70754849349
2025-07-20,12:10,0.4411,1029.46135,1353.0915166666666,1097.7310162694503,1395.955934881979,76.67965747177853,611.7880721925833,833.3333333333333,0.0,0.0,102.08490552591661,9108.70754849349
2025-07-20,12:20,0.4551,1096.00625,1384.6032333333333,1090.5437505769817,1385.0246463923859,76.29396632825743,615.1464038461866,833.3333333333333,0.0,0.0,70.41005384618666,9858.70754849349
2025-07-20,12:30,0.4463,1136.7566666666667,1382.7,1078.836622776983,1356.6380407550207,63.209141977854564,618.7410573331501,833.3333333333333,0.0,0.0,31.351057333150266,10608.70754849349
2025-07-20,12:40,0.4113,1121.9332666666664,1387.8215,1080.7511479054147,1340.1259366263425,55.63039427329181,629.5889388856974,212.54716834056632,0.0,0.0,682.9300038784647,10800.0
2025-07-20,12:50,0.5682,1140.2032333333332,1374.1324166666666,1125.123759798603,1331.2977207894476,38.55950689456115,0.0,0.0,0.0,0.0,233.9291833333334,10800.0
2025-07-20,13:00,0.8279,1185.71,1345.5,1176.4856513420903,1323.1148935995382,9.742824868569187,0.0,0.0,0.0,0.0,159.78999999999996,10800.0
2025-07-20,13:10,0.8636,1165.6896,1334.44105,1166.6405330714147,1314.2944548740215,5.893654884756415,0.0,0.0,0.0,0.0,168.75144999999998,10800.0
2025-07-20,13:20,0.8416,1133.9082333333333,1303.2555333333332,1159.8921226626262,1303.238294503608,0.0,0.0,0.0,0.0,0.0,169.3472999999999,10800.0
2025-07-20,13:30,0.8618,1154.21,1260.33125,1177.760348354396,1289.5028582110417,0.0,0.0,0.0,0.0,0.0,106.12124999999992,10800.0
2025-07-20,13:40,0.8623,1225.7857333333332,1259.9015833333333,1178.4058530569396,1272.5144178440764,0.0,0.0,0.0,0.0,0.0,34.11585000000014,10800.0
2025-07-20,13:50,0.9026,1210.3892166666665,1282.5994,1172.791676118294,1246.5114412192315,0.0,0.0,0.0,0.0,0.0,72.21018333333359,10800.0
2025-07-20,14:00,0.9754,1152.155,1281.9312499999999,1178.4822794623808,1216.3244547944466,1.6842792305456744,0.0,0.0,0.0,0.0,129.7762499999999,10800.0
2025-07-20,14:10,1.0002,1221.6172,1226.4013166666666,1197.4236414697045,1189.8913085452596,18.498309106839162,0.0,0.0,0.0,0.0,4.784116666666705,10800.0
2025-07-20,14:20,0.9978,1239.4869333333331,1173.9397666666666,1200.5437053677374,1141.869402575885,34.059226061296386,0.0,0.0,65.5471666666665,0.0,0.0,10727.169814814815
2025-07-20,14:30,1.0271,1171.235,1144.65625,1189.5478011588577,1081.7630886905295,52.6167027621935,0.0,0.0,26.5787499999999,0.0,0.0,10697.63787037037
2025-07-20,14:40,1.0906,1170.3191833333333,1101.6261833333333,1194.107538436358,1047.1806646442783,61.685830264531276,0.0,0.0,68.69299999999998,0.0,0.0,10621.312314814815
2025-07-20,14:50,0.9376,1204.79865,1023.27675,1202.587418457867,1016.0432325393417,62.43338264037993,0.0,0.0,181.52189999999996,0.0,0.0,10419.621314814814
2025-07-20,15:00,0.6694,1217.2116666666666,947.78125,1206.8945126058074,975.6376367259519,61.80462390458297,369.30330068625403,99.87288401958745,0.0,0.0,0.0,10509.506910432443
2025-07-20,15:10,0.66,1195.1691999999998,933.7347499999998,1211.0435574509843,935.3449513671654,59.66533003598563,1168.6972694531378,322.7700995195078,0.0,0.0,584.4927199336298,10800.0
2025-07-20,15:20,0.7217,1208.49335,904.8772833333334,1210.5707996548629,893.8733763835983,59.20861431292739,375.90603758419206,0.0,0.0,0.0,72.28997091752558,10800.0
2025-07-20,15:30,0.7308,1246.0016666666666,851.6812499999999,1204.6154095430497,847.0728328760179,59.20861431292739,416.75119097995935,0.0,0.0,0.0,22.43077431329266,10800.0
2025-07-20,15:40,0.7534,1227.4290833333332,838.7491833333333,1201.8781285185264,795.7226846643775,53.056038455361886,459.21148230951076,0.0,0.0,0.0,70.5315823095109,10800.0
2025-07-20,15:50,0.7823,1200.1202333333333,824.8469499999999,1223.7208156005095,758.7158936683697,57.382362263403664,522.3872841955433,0.0,0.0,0.0,147.11400086220988,10800.0
2025-07-20,16:00,0.8055,1215.7633333333333,783.38125,1247.5882919105593,730.4503373145508,58.223360351924,575.3613149479327,0.0,0.0,0.0,142.97923161459948,10800.0
2025-07-20,16:10,0.8271,1268.1880833333332,729.1380333333333,1228.2925116290999,686.3000677951055,59.343001549021814,601.335445383016,0.0,0.0,0.0,62.285395383016066,10800.0
2025-07-20,16:20,0.8519,1241.9756666666667,673.3365833333332,1215.7987955122048,640.7645493147744,59.9345084060554,634.968754603486,0.0,0.0,0.0,66.32967127015263,10800.0
2025-07-20,16:30,0.8791,1165.28,620.33125,1230.0950169371454,598.6609175280423,62.45635072313628,693.8904501322395,0.0,0.0,0.0,148.94170013223948,10800.0
2025-07-20,16:40,0.9024,1184.1737166666667,567.9231666666667,1241.6854080120415,549.1656915909043,59.69927673541497,752.2189931565522,0.0,0.0,0.0,135.9684431565522,10800.0
2025-07-20,16:50,0.9163,1236.5302499999998,510.34774999999996,1240.7228358480936,497.85049233528935,60.40327734682584,803.2756208596302,0.0,0.0,0.0,77.09312085963029,10800.0
2025-07-20,17:00,0.9264,1261.0116666666665,454.88749999999993,1233.1793953336248,450.67111820614315,59.321319385963456,841.8295965134453,0.0,0.0,0.0,35.70542984677854,10800.0
2025-07-20,17:10,0.9462,1252.311,414.40144999999995,1232.1572645274855,407.4089674794367,56.99005537085668,881.7383524189055,0.0,0.0,0.0,43.828802418905525,10800.0
2025-07-20,17:20,0.9742,1213.4100833333332,369.61093333333326,1238.6634786943462,359.4231626081631,54.400475081733475,933.6407911679165,0.0,0.0,0.0,89.84164116791658,10800.0
2025-07-20,17:30,0.9862,1217.3933333333332,317.34999999999997,1264.832520374894,309.5531413107584,53.588064904719275,1008.8674439688551,0.0,0.0,0.0,108.82411063552195,10800.0
2025-07-20,17:40,0.976,1316.0349666666666,272.92691666666667,1295.079838737101,268.76065195993647,53.588064904719275,1079.907251681884,0.0,0.0,0.0,36.799201681883915,10800.0
2025-07-20,17:50,1.0742,1219.8188166666666,228.8306,1158.8037246277472,227.81283623347497,55.48410160160377,986.474989995876,0.0,4.5132266707908,0.0,0.0,10794.98530369912
2025-07-20,18:00,1.2313,973.5016666666667,182.54375,940.3544065069987,183.4456093788996,59.7675162428424,816.6763133709414,5.571884778754692,0.0,0.0,20.14651192552013,10800.0
2025-07-20,18:10,1.2561,922.6406499999999,140.69594999999998,917.5100327532732,142.15958489535868,60.731071211869676,836.0815190697842,0.0,0.0,0.0,54.13681906978434,10800.0
