date,series,issue_hour,mae_kw,rmse_kw
2025-10-20,pv_corrected,0,193.45917500000007,321.2789730743674
2025-10-20,pv_raw,6,79.0248625000001,158.52862069219177
2025-10-20,pv_corrected,6,92.30037916666674,187.34258686452955
2025-10-20,pv_raw,12,305.651725,780.450282228693
2025-10-20,pv_corrected,12,331.1264708333334,851.0140829597692
2025-10-20,pv_raw,18,176.01516666666672,383.23047430331565
2025-10-20,pv_corrected,18,161.3375208333334,373.4210252738585
2025-10-21,load_day_ahead,0,102.15749042858266,129.19086089183352
2025-10-21,pv_raw,0,191.93714583333335,338.4511237469176
2025-10-21,pv_corrected,0,120.87399583333332,241.5295792362165
2025-10-21,pv_raw,6,55.70545833333332,111.64550365295355
2025-10-21,pv_corrected,6,59.597754166666654,120.08441647718944
2025-10-21,pv_raw,12,119.12007499999999,329.6394282289363
2025-10-21,pv_corrected,12,137.913875,394.01426163338095
2025-10-21,pv_raw,18,412.46639166666677,718.2715616858159
2025-10-21,pv_corrected,18,427.14403750000014,756.2993538384562
2025-10-22,load_day_ahead,0,122.8606039754952,150.10943694638868
2025-10-22,pv_raw,0,135.88259999999994,255.77360507179637
2025-10-22,pv_corrected,0,123.1109541666666,266.1104151614802
2025-10-22,pv_raw,6,107.06529166666667,231.43600606947672
2025-10-22,pv_corrected,6,118.30931666666669,241.87319724276503
2025-10-22,pv_raw,12,174.0523416666667,379.19882331598825
2025-10-22,pv_corrected,12,168.11491250000003,357.0018724442592
2025-10-22,pv_raw,18,202.58372083333333,394.1301320152197
2025-10-22,pv_corrected,18,204.40153750000002,394.48754004849707
2025-10-23,load_day_ahead,0,114.7111286475083,147.65386318744885
2025-10-23,pv_raw,0,501.90433749999994,961.6820460386788
2025-10-23,pv_corrected,0,505.4983500000001,970.2490423822252
2025-10-23,pv_raw,6,132.80995416666667,258.3557778144374
2025-10-23,pv_corrected,6,128.37823750000004,242.7461167616927
2025-10-23,pv_raw,12,225.3399791666667,461.13067852819984
2025-10-23,pv_corrected,12,210.86471250000008,420.00070706081516
2025-10-23,pv_raw,18,267.7094666666667,530.387868674832
2025-10-23,pv_corrected,18,253.0730166666667,507.3491343052475
2025-10-24,load_day_ahead,0,123.15276202605557,151.0345755943777
2025-10-24,pv_raw,0,173.36404166666668,369.8535795404244
2025-10-24,pv_corrected,0,219.08870416666664,461.8603012445876
2025-10-24,pv_raw,6,88.68805833333334,184.87760435875757
2025-10-24,pv_corrected,6,76.47172083333335,163.98602082372363
2025-10-24,pv_raw,12,224.3609708333333,460.9493046599986
2025-10-24,pv_corrected,12,210.20822916666668,434.64245074861014
2025-10-24,pv_raw,18,124.00517916666661,226.30413820525987
2025-10-24,pv_corrected,18,140.2572833333333,270.13465353577055
2025-10-25,load_day_ahead,0,132.30018028865868,163.86786981944942
2025-10-25,pv_raw,0,224.89382500000008,457.39340629084757
2025-10-25,pv_corrected,0,257.6832708333333,474.4243570376443
2025-10-25,pv_raw,6,59.09344166666659,130.89844088273156
2025-10-25,pv_corrected,6,66.23691249999995,135.11893705818795
2025-10-25,pv_raw,12,229.958,557.9502649706288
2025-10-25,pv_corrected,12,247.51076666666668,632.6845935540723
2025-10-25,pv_raw,18,116.86887499999999,257.1865436747047
2025-10-25,pv_corrected,18,107.3816583333333,208.79650967478068
2025-10-26,load_day_ahead,0,123.24259719887479,154.32161531969717
2025-10-26,pv_raw,0,222.9779916666666,432.9301318645933
2025-10-26,pv_corrected,0,241.46111249999987,442.0751061889242
