policy_id,a_kwh,cancellation_cost_yuan,charge_bus_kwh,date,discharge_bus_kwh,effective_issue,emergency_cost_yuan,emergency_kwh,g0_kwh,grid_unused_kwh,grid_used_kwh,increase_cost_yuan,load_kw,physical_interval_end,physical_interval_start,price_yuan_per_kwh,pv_actual_kw,pv_curtailment_kwh,retained_cost_yuan,slot_id,soc_end_kwh,soc_roundoff_adjustment_kwh,soc_start_kwh,total_cost_yuan
P3_MAIN_MEAN_ROLLOUT_061218,338.04068194444415,0,833.33333333333337,2025-08-24,0,2025-08-24T06:00:00,0,0,338.04068194444415,73.415681944444032,264.62500000000011,0,6479.6499999999996,2025-08-24T12:00:00,2025-08-24T11:50:00,0.44319999999999998,9891.8999999999996,0,149.81963023777763,72,8110.2501286882753,0,7360.2501286882753,149.81963023777763
P3_MAIN_MEAN_ROLLOUT_061218,0,75.615894649166648,564.17528333333325,2025-08-24,0,2025-08-24T12:00:00,0,0,342.85148333333325,0,0,0,6621.3672999999999,2025-08-24T12:10:00,2025-08-24T12:00:00,0.44109999999999999,10006.419,-0,0,73,8618.0078836882749,0,8110.2501286882753,75.615894649166648
P3_MAIN_MEAN_ROLLOUT_061218,0,83.894162715625043,599.42751666666663,2025-08-24,0,2025-08-24T12:00:00,0,0,368.68452083333352,0,0,0,6461.3444,2025-08-24T12:20:00,2025-08-24T12:10:00,0.4551,10057.9095,-0,0,74,9157.4926486882741,0,8618.0078836882749,83.894162715625043
P3_MAIN_MEAN_ROLLOUT_061218,0,83.20354194743058,635.34166666666681,2025-08-24,0,2025-08-24T12:00:00,0,0,372.85925138888899,0,0,0,6086.8999999999996,2025-08-24T12:30:00,2025-08-24T12:20:00,0.44629999999999997,9898.9500000000007,-0,0,75,9729.3001486882749,0,9157.4926486882741,83.20354194743058
P3_MAIN_MEAN_ROLLOUT_061218,0,68.20368997000007,534.56475000000023,2025-08-24,0,2025-08-24T12:00:00,0,0,331.64935555555587,0,0,0,6257.2772999999997,2025-08-24T12:40:00,2025-08-24T12:30:00,0.4113,9464.6658000000007,-0,0,76,10210.408423688275,0,9729.3001486882749,68.20368997000007
P3_MAIN_MEAN_ROLLOUT_061218,0,0,466.70866666666643,2025-08-24,0,2025-08-24T12:00:00,0,0,0,0,0,0,6471.4628000000002,2025-08-24T12:50:00,2025-08-24T12:40:00,0.56820000000000004,9271.7147999999997,-0,0,77,10630.446223688275,0,10210.408423688275,0
P3_MAIN_MEAN_ROLLOUT_061218,0,0,188.39308479080501,2025-08-24,0,2025-08-24T12:00:00,0,0,0,0,0,0,6522.5200000000004,2025-08-24T13:00:00,2025-08-24T12:50:00,0.82789999999999997,9340.0125000000007,281.18899854252822,0,78,10800,0,10630.446223688275,0
P3_MAIN_MEAN_ROLLOUT_061218,0,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,0,0,0,0,6722.5232999999998,2025-08-24T13:10:00,2025-08-24T13:00:00,0.86360000000000003,9202.0900000000001,413.26111666666657,0,79,10800,0,10800,0
P3_MAIN_MEAN_ROLLOUT_061218,0,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,0,0,0,0,6977.1890999999996,2025-08-24T13:20:00,2025-08-24T13:10:00,0.84160000000000001,9000.4197000000004,337.20510000000013,0,80,10800,0,10800,0
P3_MAIN_MEAN_ROLLOUT_061218,0,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,0,0,0,0,7034.8900000000003,2025-08-24T13:30:00,2025-08-24T13:20:00,0.86180000000000001,8761.875,287.8308333333332,0,81,10800,0,10800,0
