slot_id,source_sheet,source_column,source_cell,raw_time_value,raw_time_type,raw_time_number_format,time_marker_normalized
36,光伏发电实际功率,AK,AK1,0.25,excel_numeric_time_serial,h:mm,6:00
37,光伏发电实际功率,AL,AL1,0.25694444444444398,excel_numeric_time_serial,h:mm,6:10
38,光伏发电实际功率,AM,AM1,0.26388888888888801,excel_numeric_time_serial,h:mm,6:20
39,光伏发电实际功率,AN,AN1,0.27083333333333298,excel_numeric_time_serial,h:mm,6:30
40,光伏发电实际功率,AO,AO1,0.27777777777777701,excel_numeric_time_serial,h:mm,6:40
41,光伏发电实际功率,AP,AP1,0.28472222222222199,excel_numeric_time_serial,h:mm,6:50
42,光伏发电实际功率,AQ,AQ1,0.29166666666666602,excel_numeric_time_serial,h:mm,7:00
43,光伏发电实际功率,AR,AR1,0.2986111111111111,excel_numeric_time_serial,h:mm,7:10
44,光伏发电实际功率,AS,AS1,0.30555555555555503,excel_numeric_time_serial,h:mm,7:20
45,光伏发电实际功率,AT,AT1,0.3125,excel_numeric_time_serial,h:mm,7:30
46,光伏发电实际功率,AU,AU1,0.31944444444444398,excel_numeric_time_serial,h:mm,7:40
47,光伏发电实际功率,AV,AV1,0.32638888888888801,excel_numeric_time_serial,h:mm,7:50
48,光伏发电实际功率,AW,AW1,0.33333333333333331,excel_numeric_time_serial,h:mm,8:00
49,光伏发电实际功率,AX,AX1,0.34027777777777701,excel_numeric_time_serial,h:mm,8:10
50,光伏发电实际功率,AY,AY1,0.34722222222222199,excel_numeric_time_serial,h:mm,8:20
51,光伏发电实际功率,AZ,AZ1,0.35416666666666602,excel_numeric_time_serial,h:mm,8:30
52,光伏发电实际功率,BA,BA1,0.36111111111111099,excel_numeric_time_serial,h:mm,8:40
53,光伏发电实际功率,BB,BB1,0.36805555555555503,excel_numeric_time_serial,h:mm,8:50
54,光伏发电实际功率,BC,BC1,0.375,excel_numeric_time_serial,h:mm,9:00
55,光伏发电实际功率,BD,BD1,0.38194444444444398,excel_numeric_time_serial,h:mm,9:10
56,光伏发电实际功率,BE,BE1,0.38888888888888801,excel_numeric_time_serial,h:mm,9:20
57,光伏发电实际功率,BF,BF1,0.39583333333333298,excel_numeric_time_serial,h:mm,9:30
58,光伏发电实际功率,BG,BG1,0.40277777777777701,excel_numeric_time_serial,h:mm,9:40
59,光伏发电实际功率,BH,BH1,0.40972222222222199,excel_numeric_time_serial,h:mm,9:50
60,光伏发电实际功率,BI,BI1,0.41666666666666602,excel_numeric_time_serial,h:mm,10:00
61,光伏发电实际功率,BJ,BJ1,0.42361111111111099,excel_numeric_time_serial,h:mm,10:10
62,光伏发电实际功率,BK,BK1,0.43055555555555503,excel_numeric_time_serial,h:mm,10:20
63,光伏发电实际功率,BL,BL1,0.4375,excel_numeric_time_serial,h:mm,10:30
64,光伏发电实际功率,BM,BM1,0.44444444444444398,excel_numeric_time_serial,h:mm,10:40
65,光伏发电实际功率,BN,BN1,0.45138888888888801,excel_numeric_time_serial,h:mm,10:50
66,光伏发电实际功率,BO,BO1,0.45833333333333298,excel_numeric_time_serial,h:mm,11:00
67,光伏发电实际功率,BP,BP1,0.46527777777777701,excel_numeric_time_serial,h:mm,11:10
68,光伏发电实际功率,BQ,BQ1,0.47222222222222199,excel_numeric_time_serial,h:mm,11:20
69,光伏发电实际功率,BR,BR1,0.47916666666666602,excel_numeric_time_serial,h:mm,11:30
70,光伏发电实际功率,BS,BS1,0.48611111111111099,excel_numeric_time_serial,h:mm,11:40
71,光伏发电实际功率,BT,BT1,0.49305555555555503,excel_numeric_time_serial,h:mm,11:50
72,光伏发电实际功率,BU,BU1,0.5,excel_numeric_time_serial,h:mm,12:00
73,光伏发电实际功率,BV,BV1,0.50694444444444398,excel_numeric_time_serial,h:mm,12:10
74,光伏发电实际功率,BW,BW1,0.51388888888888795,excel_numeric_time_serial,h:mm,12:20
75,光伏发电实际功率,BX,BX1,0.52083333333333304,excel_numeric_time_serial,h:mm,12:30
76,光伏发电实际功率,BY,BY1,0.52777777777777701,excel_numeric_time_serial,h:mm,12:40
77,光伏发电实际功率,BZ,BZ1,0.53472222222222199,excel_numeric_time_serial,h:mm,12:50
78,光伏发电实际功率,CA,CA1,0.54166666666666596,excel_numeric_time_serial,h:mm,13:00
79,光伏发电实际功率,CB,CB1,0.54861111111111105,excel_numeric_time_serial,h:mm,13:10
80,光伏发电实际功率,CC,CC1,0.55555555555555503,excel_numeric_time_serial,h:mm,13:20
81,光伏发电实际功率,CD,CD1,0.5625,excel_numeric_time_serial,h:mm,13:30
82,光伏发电实际功率,CE,CE1,0.56944444444444398,excel_numeric_time_serial,h:mm,13:40
83,光伏发电实际功率,CF,CF1,0.57638888888888795,excel_numeric_time_serial,h:mm,13:50
