slot_id,time_mark,变量,样本数,均值,标准差,P10,P50,P90
92,15:20,pv_actual_kw,365,4471.223961917808,1063.9967111192802,2820.87374,4696.0821,5764.5503800000015
93,15:30,pv_actual_kw,365,4188.202499999999,1064.4755147606247,2554.2375,4391.25,5516.2275
94,15:40,pv_actual_kw,365,3889.3931205479453,1050.3254113747719,2253.3795,4110.2526,5150.98976
95,15:50,pv_actual_kw,365,3594.594639178082,1049.8289140466643,1964.5563,3803.3077,4839.30244
96,16:00,pv_actual_kw,365,3303.887773972603,1062.3666099271693,1691.865,3569.1375,4567.514999999999
97,16:10,pv_actual_kw,365,2998.424654794521,1060.382414824491,1361.28488,3253.5826,4297.5446
98,16:20,pv_actual_kw,365,2687.413112876712,1055.1587492824235,1053.5637,2916.9982,3955.84006
99,16:30,pv_actual_kw,365,2383.1779109589042,1055.3997174479043,795.525,2591.8125,3671.46
100,16:40,pv_actual_kw,365,2089.1245602739727,1056.467934323663,525.76186,2298.2373,3352.96494
101,16:50,pv_actual_kw,365,1791.0829265753425,1050.7969765275193,247.83682,1985.8436,3044.38774
102,17:00,pv_actual_kw,365,1501.7282876712327,1023.113855724218,39.089999999999996,1642.3875,2717.205
103,17:10,pv_actual_kw,365,1255.1723446575343,959.7831728816079,0.0,1323.4272,2442.09042
104,17:20,pv_actual_kw,365,1036.3322613698629,873.723176153779,0.0,1024.221,2142.97222
105,17:30,pv_actual_kw,365,836.7774657534247,774.6656692894925,0.0,729.6375,1854.8400000000001
106,17:40,pv_actual_kw,365,665.2313175342465,669.8649016741504,0.0,463.5716,1591.62872
107,17:50,pv_actual_kw,365,516.6757632876712,566.8163041039603,0.0,197.0739,1323.63
108,18:00,pv_actual_kw,365,386.67308219178085,465.77986820741995,0.0,0.0,1090.0425000000002
109,18:10,pv_actual_kw,365,275.7932994520548,363.31043669026735,0.0,3.726,857.7713200000001
110,18:20,pv_actual_kw,365,182.9526109589041,266.2427623934527,0.0,0.4261,632.27306
111,18:30,pv_actual_kw,365,108.34140410958904,179.48342405585805,0.0,0.0,431.61
112,18:40,pv_actual_kw,365,54.312083287671236,102.29029614961507,0.0,0.021,254.49988000000002
113,18:50,pv_actual_kw,365,18.656919726027397,40.70881644335923,0.0,0.0023,99.02748000000003
114,19:00,pv_actual_kw,365,0.27534246575342464,1.2798844783805288,0.0,0.0,0.0
115,19:10,pv_actual_kw,365,0.22958958904109586,0.7164624668674389,0.0,0.0,0.3231000000000008
116,19:20,pv_actual_kw,365,0.6007408219178082,1.318321919533048,0.0,0.0,3.2521400000000003
117,19:30,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
118,19:40,pv_actual_kw,365,0.01644986301369863,0.05145009724820075,0.0,0.0,0.02318000000000005
119,19:50,pv_actual_kw,365,0.04310438356164384,0.09466309219905952,0.0,0.0,0.23348000000000002
120,20:00,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
121,20:10,pv_actual_kw,365,0.0011495890410958905,0.0037026543932594537,0.0,0.0,0.0016600000000000022
122,20:20,pv_actual_kw,365,0.0030690410958904113,0.006805690121804017,0.0,0.0,0.01676
123,20:30,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
124,20:40,pv_actual_kw,365,4.0821917808219176e-05,0.00022386314393083476,0.0,0.0,0.0
125,20:50,pv_actual_kw,365,0.00018164383561643834,0.00048080465321861867,0.0,0.0,0.0012
126,21:00,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
127,21:10,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
128,21:20,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
129,21:30,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
130,21:40,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
131,21:50,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
132,22:00,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
133,22:10,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
134,22:20,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
135,22:30,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
136,22:40,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
137,22:50,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
138,23:00,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
139,23:10,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
140,23:20,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
141,23:30,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
142,23:40,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
143,23:50,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
144,0:00+1,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
1,0:10,net_load_kw,365,3439.8466342465763,634.5571538667965,2456.42128,3465.0342,4385.73558
2,0:20,net_load_kw,365,3437.9792413698638,603.3679953926313,2503.66132,3452.6851,4354.93568
3,0:30,net_load_kw,365,3444.3030958904105,601.3839976090354,2529.67,3467.02,4307.07
4,0:40,net_load_kw,365,3454.443659726027,587.0427035551322,2568.1365800000003,3476.4439,4349.835660000001
5,0:50,net_load_kw,365,3458.827338356165,583.9081809874868,2561.91706,3491.0769,4271.3085
6,1:00,net_load_kw,365,3459.8400547945207,590.8829554968567,2562.24,3507.56,4332.104000000001
7,1:10,net_load_kw,365,3467.1581654794522,585.0832815532905,2536.5207,3510.7796,4262.34058
8,1:20,net_load_kw,365,3467.963179726027,565.4936928662736,2569.37534,3532.2407,4216.918
9,1:30,net_load_kw,365,3466.9682739726027,547.9185192347164,2606.482,3519.32,4169.224
10,1:40,net_load_kw,365,3482.492672054794,547.2173595873329,2599.6925,3533.0136,4248.04236
11,1:50,net_load_kw,365,3495.08410109589,546.5853382263016,2603.83176,3553.1771,4189.88606
12,2:00,net_load_kw,365,3498.4443013698633,542.8982776290612,2616.118,3553.83,4142.170000000001
13,2:10,net_load_kw,365,3505.2294761643834,544.6585342340251,2618.0826,3566.7016,4195.9967400000005
14,2:20,net_load_kw,365,3512.638685479452,541.7011994660543,2640.21422,3580.066,4167.2285600000005
15,2:30,net_load_kw,365,3516.8684657534245,527.7954972380709,2668.1859999999997,3594.62,4151.612
16,2:40,net_load_kw,365,3517.924567945205,520.3853501569266,2679.79308,3601.2505,4162.00328
17,2:50,net_load_kw,365,3518.551812328767,521.5724398130227,2660.71274,3603.0912,4180.27438
18,3:00,net_load_kw,365,3521.097616438356,524.2318006641192,2652.018,3601.04,4154.344
19,3:10,net_load_kw,365,3526.925919726028,509.29887761222017,2669.87364,3614.0241,4128.4249
20,3:20,net_load_kw,365,3537.2853569863014,510.2379627632314,2690.16374,3610.2324,4145.01604
21,3:30,net_load_kw,365,3544.8808493150686,523.1598663091277,2670.3740000000003,3617.8,4208.724
22,3:40,net_load_kw,365,3541.275641643835,519.8589556629105,2706.2147600000003,3631.228,4155.71992
23,3:50,net_load_kw,365,3546.3964717808217,503.6011314926126,2730.53048,3642.9442,4176.27764
24,4:00,net_load_kw,365,3560.2070136986304,501.55917477633807,2744.682,3640.17,4183.6900000000005
25,4:10,net_load_kw,365,3561.9150736986303,508.2817831593907,2727.80978,3627.8981,4190.68678
26,4:20,net_load_kw,365,3556.7015454794523,513.4409285296504,2705.4901999999997,3639.6836,4185.83616
27,4:30,net_load_kw,365,3560.027205479452,513.2224864716969,2710.204,3644.65,4187.874
28,4:40,net_load_kw,365,3580.0546060273973,508.6504573909917,2735.37614,3659.4809,4219.98626
29,4:50,net_load_kw,365,3586.6814473972604,502.5481863128293,2758.8902,3662.381,4201.744020000001
30,5:00,net_load_kw,365,3570.9749863013703,500.80940865676763,2739.168,3659.6,4163.55
31,5:10,net_load_kw,365,3543.6389632876712,516.795775992845,2706.06248,3629.9352,4177.25616
32,5:20,net_load_kw,365,3536.9110931506852,535.9547613364823,2706.41014,3647.9916000000003,4191.98268
33,5:30,net_load_kw,365,3470.732732876713,530.3540230408152,2702.802,3599.1949999999997,4100.668000000001
34,5:40,net_load_kw,365,3301.9587684931503,525.3064318779966,2587.64032,3421.6149,3942.47862
35,5:50,net_load_kw,365,3546.841202739726,743.9609539197291,2495.81436,3715.6665000000003,4474.97236
36,6:00,net_load_kw,365,4009.523294520548,1105.8278167274968,2234.7405,4223.507500000001,5311.952
37,6:10,net_load_kw,365,3932.7319852054793,1201.1344376088578,1893.55336,4061.2915000000003,5368.5745400000005
38,6:20,net_load_kw,365,3699.0241775342465,1226.859290073747,1650.78766,3682.2685999999994,5263.33268
39,6:30,net_load_kw,365,3548.726863013699,1318.8366449171901,1510.7305,3395.3525,5287.93
40,6:40,net_load_kw,365,3344.921121917808,1406.0283885098888,1130.4316199999998,3228.5190000000002,5339.64972
41,6:50,net_load_kw,365,3175.438221369863,1408.74232119382,949.5266200000001,3039.8925,5283.143800000001
42,7:00,net_load_kw,365,3014.8242739726024,1378.5178371922498,1011.872,2811.3275,5158.262
43,7:10,net_load_kw,365,2732.661418630137,1399.5139767051885,754.1280399999998,2492.4896,4959.13346
44,7:20,net_load_kw,365,2460.4002610958905,1434.442218395214,403.40977999999996,2234.3487,4799.51926
45,7:30,net_load_kw,365,2141.980684931507,1428.6299949694526,188.49349999999984,1954.6899999999996,4497.027000000001
46,7:40,net_load_kw,365,1700.181394520548,1393.9892775687874,18.529939999999886,1493.8715,3941.79202
47,7:50,net_load_kw,365,1924.104717808219,1580.812696640836,-369.61432000000013,1808.9857999999995,4421.55726
48,8:00,net_load_kw,365,2510.528678082192,1973.958682427233,-642.7969999999999,2587.2200000000003,5421.831
49,8:10,net_load_kw,365,2291.4647953424655,2017.391583856705,-988.4732,2471.2463000000007,5142.218999999999
50,8:20,net_load_kw,365,1857.3381073972605,1954.2968600913582,-1294.6536,2023.8449,4683.488700000002
51,8:30,net_load_kw,365,1587.716308219178,1983.4544917809746,-1642.6290000000001,1770.545,4463.820000000001
52,8:40,net_load_kw,365,1282.4447723287672,1994.1718211782722,-1912.7794200000003,1399.0077,4161.317260000001
53,8:50,net_load_kw,365,1071.3535709589041,1874.397759209633,-1879.0259000000003,1090.4111000000003,3793.3143200000018
54,9:00,net_load_kw,365,932.3526780821919,1720.8487018758221,-1676.8475,978.0875000000001,3517.526500000001
55,9:10,net_load_kw,365,673.5570799999999,1708.841946404658,-1866.91012,760.1904999999997,3219.75356
56,9:20,net_load_kw,365,386.3811630136987,1734.542019280594,-2130.11368,442.4346000000005,2996.2569000000008
57,9:30,net_load_kw,365,135.3734863013698,1728.7494726886773,-2363.2935,183.4425000000001,2725.5389999999998
58,9:40,net_load_kw,365,-104.5444490410958,1724.148726117015,-2672.07522,-59.5012999999999,2524.9117
59,9:50,net_load_kw,365,-317.026633150685,1733.1268081577505,-2986.9632,-266.3695000000007,2336.42244
60,10:00,net_load_kw,365,-507.3745205479452,1746.5970466801286,-3130.5690000000004,-516.125,2129.3685
61,10:10,net_load_kw,365,-701.9014901369862,1741.2035369176635,-3311.37878,-664.9353999999994,1721.958840000001
62,10:20,net_load_kw,365,-879.9635610958906,1724.3890892060624,-3545.3964,-806.3477999999996,1604.0722600000015
63,10:30,net_load_kw,365,-1041.1215616438355,1720.4515673410885,-3695.5919999999996,-887.665,1429.4365
64,10:40,net_load_kw,365,-1206.1745556164383,1736.107089766191,-3900.0420400000003,-1060.6538,1342.25382
65,10:50,net_load_kw,365,-1352.436653150685,1750.133892279937,-3999.30448,-1221.6194999999998,1092.9941400000005
66,11:00,net_load_kw,365,-1464.0554726027399,1751.1863828405649,-4054.4069999999997,-1435.375,975.5660000000005
67,11:10,net_load_kw,365,-1548.9744243835617,1746.169205582333,-4158.7732399999995,-1509.4848000000002,900.5732199999999
68,11:20,net_load_kw,365,-1635.7892123287672,1740.9541758422815,-4280.27542,-1651.0947000000006,823.1976800000006
69,11:30,net_load_kw,365,-1705.9258767123285,1750.767797470774,-4435.912499999999,-1683.4975000000004,724.738000000001
70,11:40,net_load_kw,365,-1735.8087052054793,1771.6968764002784,-4440.19358,-1684.5451999999996,649.3105400000009
71,11:50,net_load_kw,365,-1879.2529035616442,1728.674869791346,-4488.20068,-1840.9163999999992,443.7728800000004
72,12:00,net_load_kw,365,-2081.5826301369866,1649.6763045159978,-4492.072,-2039.7875,93.08000000000035
73,12:10,net_load_kw,365,-2117.52528,1639.853373048206,-4484.463779999999,-2065.7009,146.7975400000004
74,12:20,net_load_kw,365,-2088.1999580821916,1662.2451481781861,-4606.887379999999,-2054.835,181.4568200000008
75,12:30,net_load_kw,365,-2068.358150684931,1666.4552058329393,-4573.6365000000005,-2027.7474999999995,161.5665000000003
76,12:40,net_load_kw,365,-2010.3756421917808,1646.778798314397,-4436.911279999999,-1989.6264999999999,235.88947999999982
77,12:50,net_load_kw,365,-1827.3105980821917,1684.7720921537677,-4347.1055799999995,-1756.4750999999997,399.4781799999997
78,13:00,net_load_kw,365,-1587.0431506849316,1755.9368438042493,-4285.503,-1445.5175,720.351000000001
79,13:10,net_load_kw,365,-1455.0453334246577,1741.4043071829465,-4071.16354,-1353.7739000000001,838.5553799999997
80,13:20,net_load_kw,365,-1338.4534405479453,1701.9983026860154,-3857.0259,-1202.6735000000003,910.9670400000005
81,13:30,net_load_kw,365,-1192.5558835616437,1684.0699137878967,-3765.3779999999997,-1082.5999999999995,1060.0600000000002
82,13:40,net_load_kw,365,-1064.1588564383562,1679.3803568881747,-3514.20824,-945.6433999999995,1283.3038200000008
83,13:50,net_load_kw,365,-910.4417687671233,1680.2379969175638,-3366.0943999999995,-779.8019000000004,1405.8598000000004
84,14:00,net_load_kw,365,-720.2102260273974,1673.1041282898225,-3165.4739999999997,-623.6924999999992,1532.3500000000001
85,14:10,net_load_kw,365,-526.8867210958904,1655.342151542271,-3090.95644,-377.33610000000044,1719.629880000003
86,14:20,net_load_kw,365,-321.7492268493151,1648.4237714644432,-2752.17706,-187.78110000000015,1939.2663000000007
87,14:30,net_load_kw,365,-97.53080821917807,1645.0348124033274,-2508.1065000000003,33.820000000000164,2199.2515000000008
88,14:40,net_load_kw,365,142.68826438356163,1614.0378234352177,-2139.9888800000003,258.15479999999934,2324.6233
89,14:50,net_load_kw,365,403.9201172602739,1594.347199693945,-1880.6172400000003,468.9474,2529.6635
90,15:00,net_load_kw,365,672.5391506849314,1593.1585835594954,-1766.5204999999999,749.6074999999996,2836.768
91,15:10,net_load_kw,365,925.5711005479451,1579.0821959036343,-1486.2207400000002,1019.3056999999999,3124.4443200000005
