峰谷类型,slot_id,time_mark,日期数,占比
净负荷最小,69,11:30,16,0.043835616438356165
净负荷最小,70,11:40,12,0.03287671232876712
净负荷最小,71,11:50,15,0.0410958904109589
净负荷最小,72,12:00,61,0.16712328767123288
净负荷最小,73,12:10,62,0.16986301369863013
净负荷最小,74,12:20,41,0.11232876712328767
净负荷最小,75,12:30,54,0.14794520547945206
净负荷最小,76,12:40,34,0.09315068493150686
净负荷最小,77,12:50,16,0.043835616438356165
净负荷最小,78,13:00,9,0.024657534246575342
净负荷最小,79,13:10,4,0.010958904109589041
净负荷最小,80,13:20,3,0.00821917808219178
净负荷最小,81,13:30,2,0.005479452054794521
净负荷最小,82,13:40,0,0.0
净负荷最小,83,13:50,0,0.0
净负荷最小,84,14:00,0,0.0
净负荷最小,85,14:10,0,0.0
净负荷最小,86,14:20,0,0.0
净负荷最小,87,14:30,0,0.0
净负荷最小,88,14:40,0,0.0
净负荷最小,89,14:50,0,0.0
净负荷最小,90,15:00,0,0.0
净负荷最小,91,15:10,0,0.0
净负荷最小,92,15:20,0,0.0
净负荷最小,93,15:30,0,0.0
净负荷最小,94,15:40,0,0.0
净负荷最小,95,15:50,0,0.0
净负荷最小,96,16:00,0,0.0
净负荷最小,97,16:10,0,0.0
净负荷最小,98,16:20,0,0.0
净负荷最小,99,16:30,0,0.0
净负荷最小,100,16:40,0,0.0
净负荷最小,101,16:50,0,0.0
净负荷最小,102,17:00,0,0.0
净负荷最小,103,17:10,0,0.0
净负荷最小,104,17:20,0,0.0
净负荷最小,105,17:30,0,0.0
净负荷最小,106,17:40,0,0.0
净负荷最小,107,17:50,0,0.0
净负荷最小,108,18:00,0,0.0
净负荷最小,109,18:10,0,0.0
净负荷最小,110,18:20,0,0.0
净负荷最小,111,18:30,0,0.0
净负荷最小,112,18:40,0,0.0
净负荷最小,113,18:50,0,0.0
净负荷最小,114,19:00,0,0.0
净负荷最小,115,19:10,0,0.0
净负荷最小,116,19:20,0,0.0
净负荷最小,117,19:30,0,0.0
净负荷最小,118,19:40,0,0.0
净负荷最小,119,19:50,0,0.0
净负荷最小,120,20:00,0,0.0
净负荷最小,121,20:10,0,0.0
净负荷最小,122,20:20,0,0.0
净负荷最小,123,20:30,0,0.0
净负荷最小,124,20:40,0,0.0
净负荷最小,125,20:50,0,0.0
净负荷最小,126,21:00,0,0.0
净负荷最小,127,21:10,0,0.0
净负荷最小,128,21:20,0,0.0
净负荷最小,129,21:30,0,0.0
净负荷最小,130,21:40,0,0.0
净负荷最小,131,21:50,0,0.0
净负荷最小,132,22:00,0,0.0
净负荷最小,133,22:10,0,0.0
净负荷最小,134,22:20,0,0.0
净负荷最小,135,22:30,0,0.0
净负荷最小,136,22:40,0,0.0
净负荷最小,137,22:50,0,0.0
净负荷最小,138,23:00,0,0.0
净负荷最小,139,23:10,0,0.0
净负荷最小,140,23:20,0,0.0
净负荷最小,141,23:30,0,0.0
净负荷最小,142,23:40,0,0.0
净负荷最小,143,23:50,0,0.0
净负荷最小,144,0:00+1,0,0.0
