policy,date,block_id,physical_interval,charge_bus_kwh,discharge_bus_kwh,soc_0_kwh,soc_24_kwh
MAIN,2025-02-23,1,0:00-4:00,1704.6426754732506,77.09740999999997,8980.407886074074,8798.929380740741
MAIN,2025-02-23,2,4:00-8:00,1571.71049230453,2831.3517500000003,8980.407886074074,8798.929380740741
MAIN,2025-02-23,3,8:00-12:00,5970.723056666668,4936.355166666666,8980.407886074074,8798.929380740741
MAIN,2025-02-23,4,12:00-16:00,3173.910231358025,578.5618000000002,8980.407886074074,8798.929380740741
MAIN,2025-02-23,5,16:00-20:00,22.830880658437195,5563.440496666666,8980.407886074074,8798.929380740741
MAIN,2025-02-23,6,20:00-24:00,8250.5706,2938.9782600000003,8980.407886074074,8798.929380740741
MAIN,2025-02-24,1,0:00-4:00,2068.3864491769546,69.31343000000004,8798.929380740741,8801.831591407406
MAIN,2025-02-24,2,4:00-8:00,1507.0223332921817,3795.865986666668,8798.929380740741,8801.831591407406
MAIN,2025-02-24,3,8:00-12:00,6056.092923333334,3639.0999,8798.929380740741,8801.831591407406
MAIN,2025-02-24,4,12:00-16:00,2554.3364606584346,609.0309466666666,8798.929380740741,8801.831591407406
MAIN,2025-02-24,5,16:00-20:00,87.5215933333335,5591.203560000001,8798.929380740741,8801.831591407406
MAIN,2025-02-24,6,20:00-24:00,8367.80475,3012.2174399999994,8798.929380740741,8801.831591407406
MAIN,2025-02-25,1,0:00-4:00,1850.4124073251044,120.1628466666666,8801.831591407406,8780.640850148147
MAIN,2025-02-25,2,4:00-8:00,1369.233403415635,5072.364123333335,8801.831591407406,8780.640850148147
MAIN,2025-02-25,3,8:00-12:00,6362.003966666667,3066.2635666666665,8801.831591407406,8780.640850148147
MAIN,2025-02-25,4,12:00-16:00,3302.6695284362177,379.15653333333375,8801.831591407406,8780.640850148147
MAIN,2025-02-25,5,16:00-20:00,0.0,5575.911040000002,8801.831591407406,8780.640850148147
MAIN,2025-02-25,6,20:00-24:00,8182.406446666668,2869.2614166666667,8801.831591407406,8780.640850148147
MAIN,2025-02-26,1,0:00-4:00,1933.975105390948,39.214526666666416,8780.640850148147,8925.288020111113
MAIN,2025-02-26,2,4:00-8:00,1017.043276337452,5240.378083333333,8780.640850148147,8925.288020111113
