decision_date,selected_branch,score_n_days,loss_B,loss_M,screen_cost_B,screen_cost_M,mae50_B,mae50_M,month
2025-09-30,LIGHTGBM,28,16.82168535198246,14.877221823528329,1490324.3093263106,1476128.5746906432,388.3088389632937,336.7322509180622,2025-09
2025-10-01,LIGHTGBM,28,16.391189311998698,14.43615849976139,1490892.8671813612,1476296.9253127575,376.0462172619048,322.21704263554096,2025-10
2025-10-02,LIGHTGBM,28,16.598947371515457,14.50107074507739,1489588.2145016887,1472821.9154191343,381.6550718377976,328.3592513934807,2025-10
2025-10-03,LIGHTGBM,28,16.305437310540512,14.185099198156884,1483151.1597342996,1465981.2212477387,373.34486759672615,321.6315116265184,2025-10
2025-10-04,LIGHTGBM,28,15.930462586430773,13.676344030495294,1476125.5958464693,1458130.676418358,360.5029806795635,307.74456639869976,2025-10
2025-10-05,LIGHTGBM,28,15.508361632857175,13.062698310125354,1471594.5108278417,1452286.7997490987,347.2197530877976,290.8943570094222,2025-10
2025-10-06,LIGHTGBM,28,15.2721070236418,12.816453140087196,1467378.552112091,1447392.2000370442,340.1047282118056,282.6580108035656,2025-10
2025-10-07,LIGHTGBM,28,14.97051789648828,12.52532343912516,1462856.099393376,1443663.8777776011,335.29810298859127,279.0213995591407,2025-10
2025-10-08,LIGHTGBM,28,14.779404829079697,12.390474818226185,1463068.2546271305,1444716.2239132626,331.53377392113094,277.1794032574993,2025-10
2025-10-09,LIGHTGBM,28,14.108074259818272,11.872892575260186,1456143.3879494043,1436427.1779660347,320.7288237723214,267.37325427837584,2025-10
2025-10-10,LIGHTGBM,28,13.72544889747237,11.57927448421167,1451833.647546272,1433328.355458156,314.8450246651785,264.0400723535862,2025-10
2025-10-11,LIGHTGBM,28,13.61580511622606,11.568558379704852,1449777.8228015853,1430938.763460155,310.2333816964286,263.7495999191562,2025-10
2025-10-12,LIGHTGBM,28,13.517862854149108,11.415778901766274,1447239.143167033,1428825.8037641468,309.7269367559524,262.3374721209683,2025-10
2025-10-13,LIGHTGBM,28,13.255770005547287,11.337930912254418,1446419.2534020268,1426790.9132691803,301.8264735243056,257.195119651172,2025-10
2025-10-14,LIGHTGBM,28,12.979250137951176,11.121517946418937,1442976.6897636475,1424480.9548844886,295.7076717261905,252.2811641622908,2025-10
