policy,date,grid_plan_kwh,grid_used_kwh,grid_unused_kwh,charge_bus_kwh,discharge_bus_kwh,emergency_kwh,pv_curtailment_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,emergency_slot_count,emergency_event_count,subthreshold_emergency_kwh
MAIN,2025-08-13,78202.49616684619,72037.39245814564,6165.103708700548,18853.1532491724,14800.68845201345,77.12893038881336,1941.077141375504,49466.421556598754,519.6080130272147,49986.02956962596,8996.42401131744,9519.052544446542,1624.224159963544,10800.0,3,2,8.526512829121202e-14
MAIN,2025-08-14,70630.83345127094,66591.49741312042,4039.336038150519,14521.549690336333,16563.198177521543,71.06047729790816,2777.9153942702064,45632.99131109554,489.3042872140208,46122.29559830956,9519.052544446542,4184.89373516975,1485.2364446857646,10800.0,3,2,4.547473508864641e-13
MAIN,2025-08-15,41380.51045673858,40343.12609842647,1037.3843583121152,13297.902844256358,10694.192133177,5.684341886080803e-14,20579.68850401377,24630.565117359933,1.2224177226016764e-13,24630.565117359933,4184.89373516975,4270.57059147048,1880.2303333333348,10800.0,0,0,5.684341886080803e-14
MAIN,2025-08-16,46478.4141174153,45485.87237267303,992.5417447422656,19041.509951818556,10854.815284612294,5.684341886080803e-14,20369.897338800107,26612.796338000622,3.570050921553048e-13,26612.796338000622,4270.57059147048,9347.02367631574,1468.769282016981,10800.0,0,0,5.684341886080803e-14
MAIN,2025-08-17,73471.19479857065,70073.42810433284,3397.766694237811,18884.512393885325,15295.391781328664,69.07087489049093,3387.98475,46952.84120474188,465.1815848859743,47418.02278962785,9347.02367631574,9348.20507378068,1585.8666531010308,10800.0,3,1,1.1368683772161605e-13
MAIN,2025-08-18,75972.22893200125,70603.91707544799,5368.311856553271,19500.42982109688,15820.699887755674,91.1357101695382,2621.2072356096483,48067.44422502316,619.3146089652518,48686.75883398842,9348.20507378068,9320.036481928242,1701.7531668964853,10800.0,4,3,1.7053025658242404e-13
MAIN,2025-08-19,76452.22708534384,71511.08268035616,4941.14440498767,18015.626689315613,14741.755609128744,61.93625049488068,3981.48780066418,48608.57665075801,418.0059230817832,49026.58257383979,9320.036481928242,9154.372047724795,1710.0096886112372,10800.0,3,2,1.9895196601282805e-13
MAIN,2025-08-20,76550.87241576661,74207.13056163205,2343.7418541345496,21567.64375077672,17469.079081006203,542.1251748051261,0.0,48694.82267820364,2888.941968291092,51583.764646494725,9154.372047724795,9155.163555639174,1200.0,10800.0,8,2,4.831690603168681e-13
MAIN,2025-08-21,74969.69411488915,67140.4797758548,7829.214339034341,11807.757619416909,13615.500924528871,3.410605131648481e-13,3103.8045976334315,48876.76808683465,1.2408776228767236e-12,48876.76808683465,9155.163555639174,4653.81105252676,1725.7490746139686,10800.0,0,0,3.410605131648481e-13
MAIN,2025-08-22,40879.41698344636,40873.54564063673,5.871342809635081,13355.315187433309,11236.852376156186,1.4210854715202006e-13,17524.513429359602,24388.016409627868,7.222951126095722e-13,24388.016409627868,4653.81105252676,4188.203192154305,1473.6405606128433,10800.0,0,0,1.4210854715202006e-13
