date,slot_id,physical_interval_start,physical_interval_end,selected_branch,load_kw,pv_actual_kw,actual_net_kw,q50_kw,q80_kw,q50_error_kw,q80_exceed,price_yuan_per_kwh,grid_plan_kwh,grid_used_kwh,grid_unused_kwh,charge_bus_kwh,discharge_bus_kwh,emergency_kwh,pv_curtailment_kwh,soc_start_kwh,soc_end_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-12-21,68,2025-12-21 11:10:00,2025-12-21 11:20:00,LIGHTGBM,6948.6094,5015.1025,1933.5069000000003,752.8352060543023,1029.1682030632603,1180.671693945698,True,0.5007,1004.86136717721,1004.86136717721,1.1368683772161605e-13,682.61021717721,0.0,0.0,0.0,3436.094076560378,4050.443272019867,503.1340865456292,0.0,503.1340865456292
2025-12-21,69,2025-12-21 11:20:00,2025-12-21 11:30:00,LIGHTGBM,6954.16,5256.3375,1697.8225000000002,866.7347117836147,1133.2181465421927,831.0877882163855,True,0.4827,1022.2030244236988,1022.2030244236988,-0.0,739.2326077570322,0.0,0.0,0.0,4050.443272019867,4715.752619001197,493.4173998893194,0.0,493.4173998893194
2025-12-21,70,2025-12-21 11:30:00,2025-12-21 11:40:00,LIGHTGBM,6860.0706,5348.0182,1512.0523999999996,1071.7014371763464,1387.635712731888,440.35096282365316,True,0.4785,1064.605952121981,1064.605952121981,-0.0,812.5972187886482,0.0,0.0,0.0,4715.752619001197,5447.09011591098,509.413948090368,0.0,509.413948090368
2025-12-21,71,2025-12-21 11:40:00,2025-12-21 11:50:00,LIGHTGBM,6565.9337,5577.6892,988.2444999999998,1028.5775150287309,1346.2054448998642,-40.3330150287311,False,0.4662,1057.7009074833109,998.04075,59.66015748331097,833.3333333333334,0.0,0.0,0.0,5447.09011591098,6197.09011591098,493.1001630687196,0.0,493.1001630687196
2025-12-21,72,2025-12-21 11:50:00,2025-12-21 12:00:00,LIGHTGBM,6330.9,5890.8,440.09999999999945,681.4896053574979,1071.3207505941746,-241.38960535749845,False,0.4432,1011.8867917656958,906.6833333333332,105.2034584323626,833.3333333333334,0.0,0.0,0.0,6197.09011591098,6947.09011591098,448.4682261105564,0.0,448.4682261105564
2025-12-21,73,2025-12-21 12:00:00,2025-12-21 12:10:00,LIGHTGBM,6501.863,5904.8948,596.9682000000003,486.9718424353537,795.6815181369001,109.99635756464653,False,0.4411,965.9469196894834,932.8280333333332,33.11888635615003,833.3333333333334,0.0,0.0,0.0,6947.09011591098,7697.09011591098,426.0791862750311,0.0,426.0791862750311
2025-12-21,74,2025-12-21 12:10:00,2025-12-21 12:20:00,LIGHTGBM,6520.3344,5868.1645,652.1698999999999,444.29231909995246,704.1127408302699,207.8775809000474,False,0.4551,950.6854568050452,942.0283166666666,8.657140138378509,833.3333333333334,0.0,0.0,0.0,7697.09011591098,8447.09011591098,432.656951391976,0.0,432.656951391976
2025-12-21,75,2025-12-21 12:20:00,2025-12-21 12:30:00,LIGHTGBM,6273.31,5864.7,408.6100000000006,503.2012369441052,801.3921883185935,-94.5912369441046,False,0.4463,966.898698053099,901.4350000000002,65.46369805309882,833.3333333333334,0.0,0.0,0.0,8447.09011591098,9197.09011591098,431.5268889410981,0.0,431.5268889410981
2025-12-21,76,2025-12-21 12:30:00,2025-12-21 12:40:00,LIGHTGBM,6234.7567,5722.7661,511.9906000000001,396.9448984600298,672.7663299505414,115.04570153997031,False,0.4113,945.4610549917568,918.6651,26.79595499175696,833.3333333333334,0.0,0.0,0.0,9197.09011591098,9947.09011591098,388.8681319181096,0.0,388.8681319181096
2025-12-21,77,2025-12-21 12:40:00,2025-12-21 12:50:00,LIGHTGBM,6512.763,5549.8704,962.8926000000001,538.3258017189739,886.2592444974748,424.5667982810262,True,0.5682,981.043207416246,981.043207416246,-0.0,820.5611074162459,0.0,0.0,0.0,9947.09011591098,10685.5951125856,557.428750453911,0.0,557.428750453911
